"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-39.0791667"	"-14.3866667"	"P. Fiaschi"	"2221"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-67.0892"	"-0.1306"	"R. Spruce"	"2321"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.0644"	"-16.4497"	"J. P. Souza"	"2411"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-69.28"	"-12.82"	"G. S. Hartshorn"	"2419"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	"NA"	220947	"P. aracouchini"
"-69.28"	"-12.82"	"G. S. Hartshorn"	"2419"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	"NA"	220947	"P. aracouchini"
"-49.7205162"	"-3.7861835"	"N. A. Rosa"	"2425"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-76.53"	"-0.52"	"J. Zuleta"	"244"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	240	240	220947	"P. aracouchini"
"-68.8431"	"-13.0258"	"A. Poma"	"245"	"Protium"	"aracouchini"	"Bolivia"	"La Paz"	190	190	220947	"P. aracouchini"
"-59.74583"	"-2.41625"	"N. M. Lepsch da Cunha"	"249"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	50	125	220947	"P. aracouchini"
"-39.0902778"	"-13.3288889"	"P. Fiaschi"	"2521"	"Protium"	"calanense"	"Brazil"	"Bahia"	220	220	220947	"P. calanense"
"-67.12"	"2.0039"	"G. Davidse"	"26600"	"Protium"	"leptostachyum"	"Colombia"	"Guainía"	65	65	220947	"P. leptostachyum"
"-66.42"	"1.08"	"G. Davidse"	"26820"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	80	80	220947	"P. aracouchini"
"-66.17"	"0.83"	"G. Davidse"	"27010"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	200	"NA"	220947	"P. aracouchini"
"-66.08"	"0.83"	"G. Davidse"	"27135"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	150	300	220947	"P. aracouchini"
"-66.08"	"0.83"	"G. Davidse"	"27135"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	150	300	220947	"P. aracouchini"
"-73.8997"	"-7.9636"	"J. G. Graham"	"2735"	"Protium"	"aracouchini"	"Peru"	"Ucayali"	850	"NA"	220947	"P. aracouchini"
"-66.558"	"1.667"	"G. Davidse"	"27791"	"Protium"	"leptostachyum"	"Venezuela"	"Amazonas"	80	"NA"	220947	"P. leptostachyum"
